# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
mean;(row_vector x);real;461
mean;(vector x);real;461
min;(int x, int y);int;420
min;(int[] x);int;445
min;(matrix x);real;460
min;(real[] x);real;445
min;(row_vector x);real;460
min;(vector x);real;460
modified_bessel_first_kind;(int v, real z);real;441
modified_bessel_second_kind;(int v, real z);real;441
multi_gp;~;real;538
multi_gp_cholesky;~;real;539
multi_gp_cholesky_lpdf;(matrix y | matrix L, vector w);real;539
multi_gp_lpdf;(matrix y | matrix Sigma, vector w);real;538
multi_normal;~;real;535
multi_normal_cholesky;~;real;537
multi_normal_cholesky_lpdf;(row_vectors y | row_vectors mu, matrix L);real;538
multi_normal_cholesky_lpdf;(row_vectors y | vectors mu, matrix L);real;537
multi_normal_cholesky_lpdf;(vectors y | row_vectors mu, matrix L);real;537
multi_normal_cholesky_lpdf;(vectors y | vectors mu, matrix L);real;537
multi_normal_cholesky_rng;(vector mu, matrix L);vector;538
multi_normal_lpdf;(row_vectors y | row_vectors mu, matrix Sigma);real;536
multi_normal_lpdf;(row_vectors y | vectors mu, matrix Sigma);real;535
multi_normal_lpdf;(vectors y | row_vectors mu, matrix Sigma);real;535
multi_normal_lpdf;(vectors y | vectors mu, matrix Sigma);real;535
multi_normal_prec;~;real;536
multi_normal_prec_lpdf;(row_vectors y | row_vectors mu, matrix Omega);real;537
multi_normal_prec_lpdf;(row_vectors y | vectors mu, matrix Omega);real;536
multi_normal_prec_lpdf;(vectors y | row_vectors mu, matrix Omega);real;536
multi_normal_prec_lpdf;(vectors y | vectors mu, matrix Omega);real;536
multi_normal_rng;(vector mu, matrix Sigma);vector;536
multi_student_t;~;real;539
multi_student_t_lpdf;(row_vectors y | real nu, row_vectors mu, matrix Sigma);real;540
multi_student_t_lpdf;(row_vectors y | real nu, vectors mu, matrix Sigma);real;540
multi_student_t_lpdf;(vectors y | real nu, row_vectors mu, matrix Sigma);real;540
multi_student_t_lpdf;(vectors y | real nu, vectors mu, matrix Sigma);real;540
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;540
multinomial;~;real;508
multinomial_lpmf;(int[] y | vector theta);real;508
multinomial_rng;(vector theta, int N);int[];508
multiply_log;(real x, real y);real;443
multiply_lower_tri_self_transpose;(matrix x);matrix;459
neg_binomial;~;real;503
neg_binomial_2;~;real;504
neg_binomial_2_cdf;(ints n, reals mu, reals phi);real;505
neg_binomial_2_lccdf;(ints n | reals mu, reals phi);real;505
neg_binomial_2_lcdf;(ints n | reals mu, reals phi);real;505
neg_binomial_2_log;~;real;505
neg_binomial_2_log_lpmf;(ints y | reals eta, reals phi);real;505
neg_binomial_2_log_rng;(real eta, real phi);int;506
neg_binomial_2_lpmf;(ints y | reals mu, reals phi);real;504
neg_binomial_2_rng;(real mu, real phi);int;505
neg_binomial_cdf;(ints n, reals alpha, reals beta);real;503
neg_binomial_lccdf;(ints n | reals alpha, reals beta);real;504
neg_binomial_lcdf;(ints n | reals alpha, reals beta);real;503
neg_binomial_lpmf;(ints n | reals alpha, reals beta);real;503
neg_binomial_rng;(real alpha, real beta);int;504
negative_infinity;();real;423
normal;~;real;510
normal_cdf;(reals y, reals mu, reals sigma);real;510
normal_lccdf;(reals y | reals mu, reals sigma);real;510
normal_lcdf;(reals y | reals mu, reals sigma);real;510
normal_lpdf;(reals y | reals mu, reals sigma);real;510
normal_rng;(real mu, real sigma);real;511
not_a_number;();real;423
num_elements;(T[] x);int;448
num_elements;(matrix x);int;452
num_elements;(row_vector x);int;452
